broker,share
uran neziroski,0.00023575175340366595
"daniel rudigier, msc",0.00023575175340366595
aci dipl. christian habisohn,0.00023575175340366595
mag. georg mayer,0.00023575175340366595
wilhelm fetscher,0.00023575175340366595
albert philipp edward sachsen-coburg und gotha,0.00023575175340366595
thomas aschauer,0.00023575175340366595
joffray turpin,0.00023575175340366595
christian steinhoff,0.00023575175340366595
georg papacek,0.00023575175340366595
mag. peter fellhofer,0.00023575175340366595
elly wenzel,0.00023575175340366595
thomas nussbichler,0.00023575175340366595
dr. martin schima,0.00023575175340366595
ing. mahmod farokhnia,0.00023575175340366595
katharina ertl,0.00023575175340366595
sascha lukes,0.00023575175340366595
doris el-aeraky,0.00023575175340366595
marie macho,0.00023575175340366595
paul hanifl,0.00023575175340366595
di (fh) richard schneider,0.00023575175340366595
christian meyrhofer,0.00023575175340366595
shteryu shterev,0.00023575175340366595
mag. thilo börner,0.00023575175340366595
matthias kundi,0.00023575175340366595
rafael steiner,0.00023575175340366595
ing. matthias gohn,0.00023575175340366595
mag. constantin battenfeld,0.00023575175340366595
anna pilnikova,0.00023575175340366595
rudolf rain-chot,0.00023575175340366595
maryam schubert,0.00023575175340366595
ing. alexander krapfenbauer,0.00023575175340366595
magda weinrother,0.00023575175340366595
di birgit amberger-horak,0.00023575175340366595
dr. marc berger,0.00023575175340366595
tibor birtalan,0.00023575175340366595
markus herten,0.00023575175340366595
josef fuhrmann,0.00023575175340366595
adelina taheri,0.00023575175340366595
verde lenz,0.00023575175340366595
kilian burns,0.00023575175340366595
kaiser,0.00023575175340366595
daniela plutsch,0.00023575175340366595
magister klaus deutschbauer,0.00023575175340366595
mag. fiorina doré -hirschbold,0.00023575175340366595
alexandra kotthaus,0.00023575175340366595
julien lindner,0.00023575175340366595
lucas taufer,0.00023575175340366595
komm.-rat roland oeser,0.00023575175340366595
"fischer, hörnisch immobilien gmbh",0.00023575175340366595
klaus lex,0.00023575175340366595
magdalena bezak,0.00023575175340366595
david klein,0.00023575175340366595
liliya mytsko,0.00023575175340366595
karin prosenik-resch,0.00023575175340366595
michael peschek,0.00023575175340366595
